Gene	Day0_1	Day0_2	Pre-treat_1	Pre-treat_2	Pre-treat_3	Pre-treat_4	Doxy_1	Doxy_2	Doxy_3	Doxy_4	Nodrug_1	Nodrug_2	Nodrug_3	INH_1	INH_2	INH_3	INH_4	RIF_1	RIF_2	RIF_3	RIF_4	PZA_1	PZA_2	HRZE_1	HRZE_2	HRZE_3	HRZE_4
Rv1462.Rv1462	107	25	101	108	106	173	462	465	235	158	3111	5526	2751	1106	1243	434	344	4530	2863	4750	3170	488	173	4	3	4	31
Rv1463.Rv1463		4		1	6	6	27	17	6	11	74	408	153	83	31	2	1	412	206	585	156		1		1	1	9
Rv1464.csd	960	442	1146	1173	1205	1387	2294	2660	1322	710	2519	6924	2512	1993	1238	1092	1111	6966	3801	7791	5911	708	208	808	1198	920	1006
Rv1465.Rv1465	11756	1053	10177	11691	12403	14373	21794	24335	21513	11194	11715	12858	9351	8021	7340	6288	5399	18682	13388	20601	19001	23737	28828	7065	8864	8639	5859
Rv1475c.acn	3	2	4	1	5	6	15	10	1	1	5	6	3	4	2	1		2	2	2	6	1	1			1	18
Rv1476.Rv1476	1164	25	3	6	3	6	6	9	1	1	2	10	2	22	2	4	20	21	8	3	14	4	3		2	5	9
Rv1479.moxR1			4			2		8	1	2						1	1			1		1					
Rv1480.Rv1480	8610	421	7777	9874	12706	9718	4084	2917	5866	7978	4468	4846	4624	4366	5234	4306	3881	7296	8251	7634	8537	13238	19596	1942	4367	2427	3682
Rv1485.hemZ	755	25	729	816	603	939	210	74	327	355	576	1103	1394	674	783	232	222	2718	1988	1760	1443	893	438	85	149	219	627
Rv1490.Rv1490	6903	291	11283	10901	9508	11796	2726	3930	8735	9459	5220	4822	5723	6535	7722	7451	3925	10991	12400	8350	11801	21770	24710	6480	14228	10041	7466
Rv1522c.mmpL12	5025	225	6741	8762	7742	8401	1880	2051	6181	6332	3314	3249	3899	5870	7996	4459	4635	6490	7389	7157	7691	16645	3545	5519	12436	5412	6521
Rv1525.wbbL2		2	2	1	6	6	11	10	5	3	7	6	11	22	6	2	4	5	15	6	5	10	5			3	16
Rv1547.DnaE1	1		4	2	3	1	12	3	3	1	7	3	2	2	2	2		2			5					1	16
Rv1576c.Rv1576c	4177	210	5346	6217	8020	6513	1999	1206	5699	5520	3159	2766	2495	3530	4660	2591	3386	4990	8003	5286	6396	8277	9531	3808	5433	4347	4853
Rv1595.nadB	22	8	38	42	27	25	33	47	49	27	1084	2287	1784	882	753	229	271	2350	2408	2218	2104	62	23	1	4	8	49
Rv1596.nadC	2012	587	2724	2912	2845	3854	892	687	3651	4155	2586	2328	2747	4383	3953	2948	3463	6461	5841	4263	5551	5357	1246	1185	3871	1378	3925
Rv1599.hisD	48658	12169	48689	47797	45878	38548	28206	80385	38084	42059	11171	6762	21086	15679	23918	13808	17218	19149	16815	10739	13987	26463	15817	15164	24275	27656	11776
Rv1600.hisC1	22214	6865	26126	31057	27005	25421	24220	30484	30837	36860	21253	24976	23184	18887	19788	17130	15940	24194	27503	26251	25177	36783	48761	22613	30778	25556	22225
Rv1601.hisB	8878	280	18314	18768	18453	20066	2793	1753	8174	10711	6959	8367	6809	11085	12100	12313	10319	15489	18709	16369	22002	15426	11123	14663	26071	18072	17910
Rv1603.hisA						1		1																			3
Rv1605.hisF	4036	130	6376	7403	6693	6370	1392	921	3098	6390	1947	3433	3138	4952	6616	2915	3571	5013	6071	6684	6324	9148	3538	4738	6509	5432	4495
Rv1606.hisI	17	4	26	27	57	20	20	32	37	18	88	322	172	132	117	63	38	570	491	570	372	10	10	2	4	6	32
Rv1609.trpE	1	2		1		3	3	3			3	4	1			2				3	1	1					2
Rv1612.trpB	186	17	118	184	123	206	318	318	435	526	3409	3550	3369	3452	2625	3043	1759	7728	6964	8570	6669	1952	1086	13	31	25	133
